,X,Y,Z
0,-0.01,-0.02,-1.0
1,-0.02,0.0,-1.01
2,-0.01,0.02,-1.02
3,-0.01,0.0,-1.02
4,-0.01,-0.0,-1.03
5,-0.01,0.01,-1.03
6,-0.01,0.02,-1.03
7,-0.01,0.01,-1.04
8,-0.01,0.0,-1.03
9,-0.01,0.01,-1.02
10,-0.01,0.01,-1.02
11,-0.01,0.0,-1.02
12,-0.01,-0.02,-1.02
13,-0.01,-0.03,-1.03
14,-0.01,-0.01,-1.04
15,-0.01,0.02,-1.03
16,-0.01,0.01,-1.02
17,-0.0,0.01,-1.01
18,-0.01,-0.01,-1.04
19,-0.01,0.0,-1.04
20,-0.01,0.01,-1.02
21,-0.01,-0.0,-1.03
22,-0.01,-0.01,-1.04
23,-0.01,-0.0,-1.01
24,-0.01,-0.01,-1.0
25,-0.01,-0.03,-1.01
26,-0.02,-0.01,-1.02
27,-0.02,0.01,-1.03
28,-0.02,-0.0,-1.04
29,-0.02,-0.02,-1.02
30,-0.02,-0.03,-1.01
31,-0.02,-0.04,-1.02
32,-0.03,-0.02,-1.04
33,-0.02,-0.01,-1.05
34,-0.03,-0.03,-1.04
35,-0.03,-0.03,-1.03
36,-0.03,-0.04,-1.03
37,-0.03,-0.04,-1.03
38,-0.03,-0.03,-1.04
39,-0.03,-0.03,-1.05
40,-0.03,-0.04,-1.03
41,-0.03,-0.04,-1.02
42,-0.03,-0.03,-1.03
43,-0.03,-0.03,-1.03
44,-0.03,-0.02,-1.03
45,-0.03,-0.02,-1.03
46,-0.04,-0.02,-1.04
47,-0.03,-0.04,-1.04
48,-0.04,-0.05,-1.03
49,-0.04,-0.04,-1.04
50,-0.04,-0.04,-1.04
51,-0.03,-0.04,-1.03
52,-0.03,-0.03,-1.02
53,-0.03,-0.02,-1.02
54,-0.03,-0.03,-1.03
55,-0.03,-0.03,-1.03
56,-0.03,-0.03,-1.03
57,-0.03,-0.01,-1.04
58,-0.03,-0.03,-1.03
59,-0.03,-0.05,-1.03
60,-0.03,-0.02,-1.03
61,-0.03,-0.01,-1.03
62,-0.02,-0.01,-1.03
63,-0.02,-0.03,-1.03
64,-0.03,-0.04,-1.02
65,-0.03,-0.01,-1.04
66,-0.03,-0.0,-1.04
67,-0.02,0.01,-1.03
68,-0.02,-0.02,-1.02
69,-0.02,-0.03,-1.01
70,-0.02,-0.01,-1.02
71,-0.02,-0.0,-1.02
72,-0.02,-0.0,-1.03
73,-0.02,-0.02,-1.04
74,-0.02,-0.02,-1.04
75,-0.02,-0.01,-1.03
76,-0.02,-0.0,-1.03
77,-0.02,-0.01,-1.03
78,-0.02,-0.01,-1.03
79,-0.02,-0.0,-1.03
80,-0.02,-0.0,-1.03
81,-0.04,-0.0,-1.03
82,-0.01,0.02,-1.03
