,X,Y,Z
0,-0.01,-1.01,-0.06
1,-0.0,-1.01,-0.06
2,-0.0,-1.01,-0.06
3,-0.0,-1.01,-0.06
4,-0.0,-1.01,-0.06
5,-0.0,-1.01,-0.06
6,-0.0,-1.01,-0.05
7,-0.0,-1.01,-0.05
8,-0.0,-1.01,-0.04
9,-0.0,-1.01,-0.04
10,-0.0,-1.01,-0.07
11,-0.0,-1.01,-0.06
12,-0.0,-1.01,-0.05
13,-0.0,-1.01,-0.05
14,-0.0,-1.01,-0.06
15,-0.01,-1.01,-0.06
16,-0.0,-1.01,-0.08
17,-0.0,-1.01,-0.07
18,-0.0,-1.01,-0.06
19,-0.0,-1.01,-0.06
20,-0.0,-1.01,-0.07
21,-0.0,-1.01,-0.07
22,-0.01,-1.01,-0.06
23,-0.0,-1.01,-0.06
24,-0.0,-1.01,-0.06
25,-0.0,-1.01,-0.05
26,-0.0,-1.01,-0.07
27,-0.0,-1.01,-0.07
28,-0.0,-1.01,-0.07
29,-0.0,-1.01,-0.07
30,-0.0,-1.01,-0.06
31,-0.0,-1.01,-0.06
32,-0.0,-1.01,-0.06
33,-0.0,-1.01,-0.07
34,-0.0,-1.01,-0.07
35,-0.0,-1.01,-0.06
36,-0.0,-1.01,-0.06
37,-0.0,-1.01,-0.06
38,-0.0,-1.01,-0.06
39,-0.0,-1.01,-0.06
40,-0.01,-1.01,-0.06
41,-0.0,-1.01,-0.06
42,-0.0,-1.01,-0.06
43,-0.0,-1.01,-0.06
44,-0.01,-1.01,-0.06
45,-0.0,-1.01,-0.06
46,-0.0,-1.01,-0.06
47,-0.0,-1.01,-0.06
48,-0.0,-1.01,-0.06
49,-0.0,-1.01,-0.06
50,-0.0,-1.01,-0.06
51,-0.0,-1.01,-0.06
52,-0.0,-1.01,-0.06
53,-0.0,-1.01,-0.06
54,-0.0,-1.01,-0.06
55,-0.0,-1.01,-0.06
56,-0.0,-1.01,-0.07
57,-0.0,-1.01,-0.06
58,-0.0,-1.01,-0.07
59,-0.0,-1.01,-0.06
60,-0.0,-1.01,-0.06
61,-0.0,-1.01,-0.07
62,-0.0,-1.01,-0.06
63,-0.0,-1.01,-0.06
64,-0.0,-1.01,-0.06
65,-0.0,-1.01,-0.07
66,-0.0,-1.01,-0.07
67,-0.0,-1.01,-0.07
68,-0.0,-1.01,-0.07
69,-0.0,-1.01,-0.06
70,-0.0,-1.01,-0.07
71,-0.0,-1.01,-0.07
72,-0.0,-1.01,-0.06
73,-0.0,-1.01,-0.07
