,X,Y,Z
0,0.99,0.04,-0.04
1,0.99,0.01,-0.04
2,0.99,0.03,-0.04
3,1.0,0.0,-0.02
4,0.99,0.02,-0.02
5,0.99,0.0,-0.03
6,0.99,0.02,-0.03
7,0.99,0.01,-0.04
8,1.0,0.0,-0.03
9,1.0,-0.01,-0.02
10,1.0,-0.01,-0.02
11,0.99,0.02,-0.03
12,0.99,0.05,-0.04
13,0.99,0.03,-0.02
14,0.99,0.02,-0.02
15,0.99,0.02,-0.02
16,0.99,0.03,-0.03
17,0.99,0.05,-0.03
18,1.0,-0.0,-0.05
19,1.0,0.01,-0.05
20,0.99,0.02,-0.03
21,1.0,-0.01,-0.02
22,0.99,0.01,-0.03
23,1.0,-0.0,-0.02
24,0.99,0.02,-0.01
25,0.99,0.03,-0.01
26,0.99,0.04,-0.02
27,0.99,0.05,-0.03
28,1.0,-0.0,-0.04
29,0.99,0.02,-0.02
30,1.0,0.01,-0.03
31,1.0,-0.0,-0.02
32,0.99,0.04,-0.02
33,0.99,0.01,-0.03
34,0.99,0.03,-0.04
35,1.0,0.01,-0.04
36,1.0,-0.0,-0.03
37,1.0,0.01,-0.02
38,1.0,0.01,-0.01
39,0.99,0.03,-0.03
40,0.99,0.02,-0.02
41,0.99,0.01,-0.03
42,0.99,0.06,-0.05
43,1.0,0.0,-0.05
44,1.0,0.01,-0.03
45,0.99,0.02,-0.03
46,1.0,0.0,-0.02
47,1.0,0.0,-0.02
48,0.99,0.01,-0.01
49,0.99,0.02,-0.02
50,0.99,0.03,-0.01
51,0.99,0.0,-0.02
52,0.99,0.04,-0.02
53,0.99,0.02,-0.02
54,0.99,0.0,-0.03
55,0.99,-0.0,-0.02
56,1.0,-0.0,-0.04
57,1.0,-0.01,-0.04
58,1.0,-0.0,-0.02
59,0.99,0.01,-0.02
60,0.99,0.05,-0.03
61,0.99,0.02,-0.01
62,0.99,0.0,-0.0
63,0.99,0.01,-0.02
64,0.99,0.02,-0.01
65,0.99,0.01,-0.02
66,1.0,-0.0,-0.02
67,1.0,-0.01,-0.02
68,1.0,0.01,-0.03
69,1.0,-0.0,-0.02
70,1.0,-0.01,-0.02
71,0.99,0.01,-0.03
72,0.99,0.03,-0.03
73,0.99,-0.0,-0.02
74,0.99,0.03,-0.01
75,0.99,0.0,-0.02
76,0.99,0.03,-0.0
77,1.0,0.0,-0.02
78,1.0,0.01,-0.02
79,0.99,0.0,-0.02
80,0.99,-0.01,-0.03
81,0.99,0.0,-0.03
82,0.99,0.0,-0.03
83,1.0,-0.01,-0.02
84,1.0,0.01,-0.02
85,0.99,0.01,-0.02
86,0.99,0.01,-0.01
87,1.0,0.0,-0.01
