,X,Y,Z
0,-0.02,-0.02,0.98
1,-0.02,-0.02,0.98
2,-0.02,-0.02,0.98
3,-0.02,-0.02,0.98
4,-0.02,-0.02,0.98
5,-0.02,-0.02,0.98
6,-0.02,-0.02,0.97
7,-0.02,-0.01,0.98
8,-0.02,-0.02,0.98
9,-0.02,-0.02,0.98
10,-0.02,-0.02,0.98
11,-0.02,-0.02,0.98
12,-0.02,-0.02,0.98
13,-0.02,-0.02,0.98
14,-0.02,-0.02,0.98
15,-0.02,-0.01,0.98
16,-0.02,-0.02,0.97
17,-0.02,-0.02,0.98
18,-0.02,-0.02,0.98
19,-0.02,-0.02,0.98
20,-0.02,-0.02,0.98
21,-0.02,-0.02,0.98
22,-0.02,-0.02,0.98
23,-0.02,-0.02,0.98
24,-0.02,-0.02,0.98
25,-0.02,-0.02,0.98
26,-0.02,-0.02,0.98
27,-0.02,-0.02,0.98
28,-0.02,-0.02,0.98
29,-0.02,-0.02,0.98
30,-0.02,-0.02,0.98
31,-0.02,-0.02,0.98
32,-0.02,-0.02,0.98
33,-0.02,-0.02,0.98
34,-0.02,-0.02,0.98
35,-0.02,-0.02,0.98
36,-0.02,-0.02,0.98
37,-0.02,-0.02,0.98
38,-0.02,-0.02,0.98
39,-0.02,-0.02,0.98
40,-0.02,-0.02,0.98
41,-0.02,-0.02,0.98
42,-0.02,-0.02,0.98
43,-0.02,-0.02,0.98
44,-0.02,-0.02,0.98
45,-0.02,-0.02,0.98
46,-0.02,-0.02,0.98
47,-0.02,-0.02,0.98
48,-0.02,-0.02,0.98
49,-0.02,-0.02,0.98
50,-0.02,-0.02,0.98
51,-0.02,-0.02,0.98
52,-0.02,-0.02,0.98
53,-0.02,-0.02,0.98
54,-0.02,-0.02,0.98
55,-0.02,-0.02,0.98
56,-0.02,-0.02,0.98
57,-0.02,-0.02,0.98
58,-0.02,-0.02,0.98
59,-0.02,-0.02,0.98
60,-0.02,-0.02,0.98
61,-0.02,-0.02,0.98
62,-0.02,-0.02,0.98
63,-0.02,-0.02,0.98
64,-0.02,-0.02,0.98
65,-0.02,-0.02,0.98
66,-0.02,-0.02,0.98
67,-0.02,-0.02,0.98
68,-0.02,-0.02,0.98
69,-0.02,-0.02,0.98
70,-0.02,-0.02,0.98
71,-0.02,-0.02,0.98
72,-0.02,-0.02,0.98
73,-0.02,-0.02,0.98
74,-0.02,-0.02,0.98
75,-0.02,-0.02,0.98
76,-0.02,-0.02,0.98
77,-0.02,-0.02,0.98
78,-0.02,-0.02,0.98
79,-0.02,-0.02,0.98
80,-0.02,-0.02,0.98
81,-0.02,-0.02,0.98
82,-0.02,-0.02,0.98
83,-0.02,-0.02,0.98
84,-0.02,-0.02,0.98
85,-0.02,-0.02,0.98
86,-0.02,-0.02,0.98
87,-0.02,-0.02,0.98
88,-0.02,-0.02,0.98
89,-0.02,-0.02,0.98
90,-0.02,-0.02,0.98
91,-0.02,-0.02,0.98
92,-0.02,-0.02,0.98
93,-0.02,-0.02,0.98
94,-0.02,-0.02,0.98
95,-0.02,-0.02,0.98
96,-0.02,-0.02,0.98
97,-0.02,-0.02,0.98
98,-0.02,-0.02,0.98
99,-0.02,-0.02,0.98
100,-0.02,-0.02,0.98
101,-0.02,-0.02,0.98
102,-0.02,-0.02,0.98
103,-0.02,-0.02,0.98
104,-0.02,-0.02,0.98
105,-0.02,-0.02,0.98
106,-0.02,-0.02,0.98
107,-0.02,-0.02,0.98
108,-0.02,-0.02,0.98
109,-0.02,-0.02,0.98
110,-0.02,-0.02,0.98
111,-0.02,-0.02,0.98
112,-0.02,-0.02,0.98
113,-0.02,-0.02,0.98
114,-0.02,-0.02,0.98
115,-0.02,-0.02,0.98
116,-0.02,-0.02,0.98
117,-0.02,-0.02,0.98
118,-0.02,-0.02,0.98
119,-0.02,-0.02,0.98
120,-0.02,-0.02,0.98
121,-0.02,-0.02,0.98
122,-0.02,-0.02,0.98
123,-0.02,-0.02,0.98
124,-0.02,-0.02,0.98
125,2.38,0.06,-0.61
126,2.38,0.06,-0.61
127,2.56,-0.06,-0.61
128,2.38,0.12,-0.43
129,2.26,0.18,-0.37
130,2.32,0.0,-0.31
131,2.2,0.0,-0.31
132,2.26,0.12,-0.24
133,2.14,0.12,-0.37
134,2.14,0.06,-0.37
135,2.14,0.06,-0.49
136,2.14,0.0,-0.73
137,2.14,0.12,-0.73
138,2.2,0.12,-0.49
139,2.14,0.12,-0.43
140,2.01,0.12,-0.55
141,2.01,0.12,-0.31
142,2.14,0.12,-0.06
143,2.14,0.0,0.12
144,2.26,0.06,0.31
145,2.26,0.12,0.24
146,2.08,0.12,0.06
147,2.2,0.06,-0.24
148,2.26,0.0,-0.24
149,2.01,0.0,-0.31
150,2.08,0.0,-0.37
151,2.2,0.0,-0.49
152,2.14,0.18,-0.55
153,2.14,0.18,-0.61
154,2.26,0.06,-0.43
155,2.26,0.06,-0.31
156,2.32,0.18,-0.18
157,2.38,0.18,-0.06
158,2.26,0.18,-0.12
159,2.14,0.06,0.0
160,1.95,0.06,0.12
161,1.89,0.06,0.31
162,2.08,0.12,0.12
163,2.08,0.06,-0.31
164,2.08,0.18,-0.55
165,2.14,0.12,-0.55
166,2.2,-0.06,-0.61
167,2.08,0.0,-0.49
168,2.2,0.0,-0.43
169,2.2,0.0,-0.55
170,2.26,0.0,-0.55
171,2.01,0.06,-0.67
172,2.08,0.06,-0.49
173,2.01,0.06,-0.31
174,2.01,0.06,-0.18
175,1.89,0.06,-0.24
176,2.01,0.0,0.0
177,2.01,0.12,-0.12
178,2.08,0.12,-0.18
179,2.01,0.12,-0.37
180,2.14,0.0,-0.31
181,2.2,0.12,-0.37
182,2.2,0.12,-0.49
183,2.2,0.18,-0.49
184,2.32,0.12,-0.43
185,2.32,0.06,-0.31
186,2.32,0.0,-0.37
187,2.2,0.06,-0.12
188,2.14,0.18,-0.31
189,2.01,0.12,-0.37
190,2.08,0.06,-0.37
191,2.08,0.06,-0.31
192,2.01,0.06,-0.37
193,2.01,0.0,-0.43
194,1.95,0.18,-0.55
195,1.83,0.12,-0.61
196,1.89,0.06,-0.49
197,1.95,0.06,-0.37
198,1.89,0.12,-0.37
199,2.01,0.06,-0.37
200,2.08,0.12,-0.37
201,2.01,0.06,-0.31
202,2.14,0.0,-0.37
203,2.14,0.06,-0.43
204,2.01,0.12,-0.37
205,2.14,0.06,-0.37
206,2.08,0.12,-0.37
207,2.26,0.06,-0.31
208,2.14,0.0,-0.31
209,2.2,0.12,-0.37
210,2.26,0.06,-0.37
211,2.14,0.12,-0.31
212,2.01,0.06,-0.43
213,2.08,0.12,-0.43
214,2.08,0.06,-0.31
215,2.08,0.0,-0.18
216,2.01,0.06,-0.24
217,1.95,0.0,-0.31
218,1.95,0.12,-0.31
219,2.01,0.12,-0.24
220,2.14,0.12,-0.24
221,2.14,0.0,-0.18
222,2.2,0.06,-0.18
223,2.14,0.12,-0.24
224,2.01,0.12,-0.43
225,1.95,0.18,-0.43
226,2.01,0.06,-0.24
227,2.08,0.06,-0.31
228,2.14,0.06,-0.49
229,2.01,0.06,-0.55
230,2.08,0.06,-0.43
231,2.14,0.18,-0.37
232,2.14,0.12,-0.24
233,2.08,0.12,-0.12
234,2.01,0.0,-0.12
235,2.01,-0.06,-0.12
236,1.89,0.0,-0.37
237,1.95,0.18,-0.24
238,2.01,0.0,-0.18
239,2.01,0.24,-0.24
240,2.01,0.06,-0.37
241,2.01,0.06,-0.31
242,2.01,0.12,-0.43
243,1.95,0.18,-0.43
244,2.08,0.18,-0.37
245,2.01,0.12,-0.37
246,2.08,0.06,-0.43
247,2.2,0.06,-0.49
248,2.26,0.18,-0.43
249,2.01,0.12,-0.31
250,31.03,8.58,-45.87
251,31.03,8.58,-45.87
252,30.69,8.46,-45.53
253,30.69,8.46,-45.53
254,30.69,8.46,-45.53
255,30.69,8.46,-45.53
256,30.69,8.46,-45.53
257,30.69,8.46,-45.53
258,30.58,8.86,-45.52
259,30.58,8.86,-45.52
260,30.58,8.86,-45.52
261,30.58,8.86,-45.52
262,30.58,8.86,-45.52
263,30.58,8.86,-45.52
264,30.53,9.46,-46.61
265,30.53,9.46,-46.61
266,30.53,9.46,-46.61
267,30.53,9.46,-46.61
268,30.53,9.46,-46.61
269,30.53,9.46,-46.61
270,30.68,9.07,-45.84
271,30.68,9.07,-45.84
272,30.68,9.07,-45.84
273,30.68,9.07,-45.84
274,30.68,9.07,-45.84
275,30.68,9.07,-45.84
276,30.53,8.78,-46.78
277,30.53,8.78,-46.78
278,30.53,8.78,-46.78
279,30.53,8.78,-46.78
