,X,Y,Z
0,0.45,0.66,0.49
1,0.45,0.62,0.5
2,0.45,0.63,0.49
3,0.45,0.65,0.49
4,0.45,0.69,0.5
5,0.44,0.73,0.5
6,0.44,0.72,0.5
7,0.43,0.76,0.51
8,0.42,0.78,0.52
9,0.43,0.75,0.5
10,0.44,0.76,0.49
11,0.44,0.72,0.49
12,0.45,0.67,0.49
13,0.45,0.66,0.48
14,0.45,0.68,0.49
15,0.44,0.69,0.5
16,0.43,0.7,0.52
17,0.43,0.72,0.52
18,0.43,0.74,0.52
19,0.43,0.75,0.52
20,0.43,0.75,0.5
21,0.44,0.71,0.5
22,0.45,0.68,0.49
23,0.45,0.64,0.49
24,0.45,0.64,0.48
25,0.45,0.66,0.49
26,0.45,0.68,0.49
27,0.44,0.69,0.5
28,0.43,0.69,0.52
29,0.43,0.71,0.52
30,0.44,0.75,0.51
31,0.44,0.76,0.5
32,0.44,0.7,0.49
33,0.45,0.7,0.49
34,0.45,0.67,0.49
35,0.44,0.68,0.5
36,0.44,0.7,0.5
37,0.43,0.73,0.52
38,0.42,0.74,0.52
39,0.43,0.75,0.52
40,0.43,0.75,0.51
41,0.43,0.72,0.51
42,0.44,0.67,0.49
43,0.43,0.69,0.51
44,0.43,0.72,0.52
45,0.42,0.73,0.52
46,0.43,0.71,0.52
47,0.44,0.73,0.5
48,0.44,0.73,0.49
49,0.44,0.7,0.49
50,0.44,0.69,0.5
51,0.44,0.66,0.48
52,0.45,0.67,0.48
53,0.44,0.68,0.51
54,0.44,0.69,0.51
55,0.43,0.7,0.51
56,0.43,0.72,0.51
57,0.43,0.75,0.51
58,0.43,0.75,0.5
59,0.43,0.75,0.5
60,0.44,0.7,0.5
61,0.45,0.69,0.49
62,0.45,0.69,0.48
63,0.45,0.68,0.47
64,0.45,0.65,0.49
65,0.45,0.65,0.49
66,0.44,0.7,0.5
67,0.43,0.75,0.51
68,0.41,0.78,0.55
69,0.41,0.79,0.53
70,0.43,0.78,0.5
71,0.43,0.73,0.5
72,0.44,0.64,0.51
73,0.44,0.62,0.5
74,0.45,0.65,0.49
75,0.44,0.66,0.51
76,0.43,0.69,0.53
77,0.43,0.72,0.51
78,0.43,0.74,0.52
79,0.43,0.74,0.52
80,0.42,0.74,0.53
81,0.44,0.73,0.48
82,0.44,0.72,0.48
83,0.45,0.66,0.49
84,0.45,0.63,0.47
85,0.46,0.65,0.48
86,0.45,0.66,0.49
87,0.44,0.68,0.49
88,0.44,0.71,0.5
89,0.44,0.73,0.49
90,0.43,0.73,0.51
91,0.43,0.75,0.5
92,0.44,0.79,0.49
93,0.44,0.73,0.49
94,0.44,0.7,0.5
95,0.44,0.68,0.5
96,0.45,0.64,0.49
97,0.44,0.65,0.5
98,0.43,0.69,0.52
99,0.75,0.41,-0.52
100,0.76,0.42,-0.53
101,0.76,0.42,-0.53
102,0.76,0.41,-0.51
103,0.75,0.42,-0.52
104,0.74,0.41,-0.54
105,0.74,0.41,-0.53
106,0.74,0.42,-0.51
107,0.73,0.41,-0.51
108,0.74,0.41,-0.52
109,0.74,0.41,-0.53
110,0.73,0.42,-0.52
111,0.74,0.42,-0.53
112,0.75,0.43,-0.53
113,0.76,0.44,-0.52
114,0.77,0.44,-0.52
115,0.77,0.45,-0.52
116,0.77,0.44,-0.52
117,0.75,0.43,-0.52
118,0.74,0.41,-0.53
119,0.74,0.39,-0.54
120,0.74,0.42,-0.52
121,0.74,0.42,-0.51
122,0.74,0.41,-0.53
123,0.74,0.42,-0.51
124,0.75,0.41,-0.52
125,0.75,0.41,-0.52
126,0.75,0.41,-0.52
127,0.76,0.42,-0.53
128,0.76,0.42,-0.52
129,0.76,0.43,-0.53
130,0.75,0.43,-0.54
131,0.74,0.42,-0.55
132,0.74,0.41,-0.53
133,0.75,0.41,-0.52
134,0.75,0.43,-0.51
135,0.74,0.41,-0.52
136,0.74,0.4,-0.52
137,0.76,0.43,-0.5
138,0.75,0.4,-0.52
139,0.76,0.41,-0.53
140,0.75,0.42,-0.52
141,0.73,0.4,-0.54
142,0.74,0.4,-0.55
143,0.74,0.42,-0.52
144,0.74,0.42,-0.52
145,0.73,0.42,-0.54
146,0.74,0.41,-0.54
147,0.74,0.44,-0.52
148,0.76,0.43,-0.51
149,0.76,0.43,-0.51
150,0.75,0.42,-0.52
151,0.74,0.42,-0.53
152,0.74,0.41,-0.54
153,0.73,0.4,-0.54
154,0.73,0.39,-0.54
155,0.74,0.4,-0.55
156,0.74,0.42,-0.52
157,0.74,0.41,-0.53
158,0.74,0.41,-0.53
159,0.75,0.41,-0.52
160,0.75,0.42,-0.51
161,0.75,0.42,-0.51
162,0.75,0.42,-0.53
163,0.74,0.42,-0.53
164,0.75,0.42,-0.52
165,0.75,0.43,-0.53
166,0.74,0.42,-0.54
167,0.74,0.4,-0.55
168,0.74,0.42,-0.53
169,0.74,0.41,-0.55
170,0.74,0.4,-0.55
171,0.74,0.42,-0.54
172,0.75,0.42,-0.52
173,0.75,0.43,-0.51
174,0.74,0.41,-0.51
175,0.73,0.41,-0.51
176,0.75,0.41,-0.54
177,0.74,0.41,-0.53
178,0.75,0.43,-0.53
179,0.76,0.43,-0.54
180,0.75,0.42,-0.55
181,0.75,0.42,-0.54
182,0.73,0.42,-0.52
183,0.72,0.42,-0.53
184,0.74,0.41,-0.53
185,0.74,0.42,-0.52
186,0.74,0.4,-0.53
187,0.74,0.4,-0.55
188,0.75,0.42,-0.54
189,0.76,0.42,-0.53
190,0.75,0.42,-0.53
191,0.74,0.41,-0.54
192,3.97,0.06,-2.26
193,4.03,-0.31,-1.28
194,3.85,0.12,1.83
195,2.93,0.06,4.46
196,1.71,-0.31,5.86
197,0.55,-0.61,6.23
198,-0.31,-0.98,4.64
199,0.24,-1.16,3.54
200,1.65,-0.79,2.26
201,2.38,-0.31,-0.67
202,3.23,0.37,-1.95
203,3.36,0.0,-2.75
204,3.17,-0.43,-2.99
205,3.11,-0.31,-1.77
206,2.44,-0.67,0.0
207,0.79,-0.79,1.1
208,-0.37,-0.92,1.65
209,-0.98,-0.43,2.01
210,-0.79,15.38,0.31
211,-0.61,0.43,-1.59
212,0.06,0.49,-2.56
213,0.67,0.49,-3.11
214,1.1,0.55,-2.81
215,2.01,-0.18,-2.81
216,2.69,-0.79,0.79
217,3.42,-0.92,2.14
218,3.17,-0.98,2.69
219,2.2,-1.16,2.99
220,1.71,-0.43,3.17
221,2.38,0.0,3.23
222,2.69,0.43,1.89
223,1.53,0.43,-0.73
224,0.67,0.43,-2.08
225,0.24,0.43,-1.95
226,-0.18,-0.12,-0.92
227,-0.18,-0.73,0.37
228,-0.06,-0.67,1.16
229,1.53,-1.16,1.83
230,2.81,-0.85,1.59
231,3.23,-0.18,0.49
232,3.66,0.73,-0.61
233,2.81,0.92,-1.95
